Date,SPY,EWU,EWA,EWH,50,52
2016-8-17,0.001879277,0,0,-0.004730431,-0.005702082,0.022207386
2016-8-18,0.002241489,0.009419185,0.00047627,0.003786084,0.001428572,-0.005623258
2016-8-19,-0.001463315,-0.008158193,-0.009088849,-0.008062591,-0.002143624,-0.002587932
2016-8-22,-4.58E-05,0.000629884,0.000960647,-0.003338939,-0.010064787,0.011942537
2016-8-23,0.002011586,0.006903085,0.006221561,0.008563372,-0.007251663,-0.001397624
2016-8-24,-0.005128062,-0.003131863,0,-0.007608203,0.010137668,-0.015030814
2016-8-25,-0.000688855,-0.003141637,-0.000477079,0.002859802,-0.002886005,-0.001657786
2016-8-26,-0.001885137,-0.006313204,-0.013455368,-0.003337249,0.011494379,0.015755764
2016-8-29,0.004912333,0.003792742,-0.000968036,0.000477446,0.001427552,0.003261126
2016-8-30,-0.001650102,-0.00315957,-0.008755008,0.008555086,-0.000713521,0.010640859
2016-8-31,-0.002847995,-0.001900558,-0.012288132,-0.004743749,-0.000714031,-0.002534272
2016-9-1,4.58E-05,0.00632112,0.005425388,0.011817612,-0.008608375,-0.011367713
2016-9-2,0.004497962,0.020580781,0.000491831,0.016775738,-0.005055988,0.000932836
2016-9-6,0.003017922,0.001849998,0.017544281,0.010115142,0.001447178,0.004651171
2016-9-7,-9.14E-05,-0.006180508,-0.00241836,0.001828034,0.016493741,-0.001857873
2016-9-8,-0.002285494,-0.001240589,-0.011200522,0.009091027,0.007793167,-0.001162926
2016-9-9,-0.024225946,-0.018797569,-0.032349104,-0.006810358,0.014015646,-0.008647945
2016-9-12,0.014245258,0.006305177,0.009564583,0.004091797,-0.003485539,-0.017523536
2016-9-13,-0.014479815,-0.022887167,-0.034661905,-0.02387628,-0.016901811,0.016819063
2016-9-14,-0.000375174,0.001285304,0.008264406,0.005560638,-0.014306396,0.004920924
2016-9-15,0.009943262,0.010859244,0.018853996,0.015589576,-0.007956642,0.005129412
2016-9-16,-0.003873032,-0.015365172,-0.001010029,-0.004560069,0,-0.000697918
2016-9-19,0.000187418,0.007712097,0.004034378,-0.000457054,-0.005826673,-0.006069113
2016-9-20,4.68E-05,0.000640028,0.006021029,-0.00091497,0.036576325,0.000702165
2016-9-21,0.011182828,0.010817814,0.022261632,0.011376721,-0.001409444,-0.00398547
2016-9-22,0.00628169,0.008821668,0.006339945,0.00406422,0.004924386,0.00375147
2016-9-23,-0.005494388,-0.008821668,-0.001459497,-0.007690691,0.00210305,0.003271031
2016-9-26,-0.008135209,-0.010178228,-0.000974114,-0.012337324,0.006978395,0.005350716
2016-9-27,0.006188866,0.002554327,0.01066413,0.010519168,-0.012596388,0.020666637
2016-9-28,0.004951326,0.011414084,0.011505331,0.007704587,0.012596388,0.006569284
2016-9-29,-0.009088518,-0.00759495,-0.011505331,-0.009982046,-0.013300861,-0.028396687
2016-9-30,0.007517812,0.006333162,0.00768491,0.003641421,0.007022501,-0.0060578
2016-10-3,-0.002407046,-0.000631541,0.00191206,0.001815633,0.00418995,-0.004684946
2016-10-4,-0.005110766,0.003153591,-0.007670173,-0.005001063,-0.003490405,-0.01014758
2016-10-5,0.004415547,0.000629585,0.005758113,0.010428545,0.002793298,0.031289034
2016-10-6,0.000695219,-0.010120287,0.00047832,-0.001354204,-0.000697593,0.010746645
2016-10-7,-0.003435332,-0.01150906,-0.003833235,-0.001808246,-0.00279525,0
2016-10-10,0.005194925,-0.001287025,0.007651933,0.006764429,0.011134423,0.000909298
