Date,SPY,EWK,XLF,DIA,50,56
2016-10-31,4.71E-05,-0.00223221,-0.001518509,-0.001048357,-0.011777067,-0.017880425
2016-11-1,-0.007271753,-0.002237204,-0.004060925,-0.005812449,-0.007695036,-0.008194999
2016-11-2,-0.006036861,-0.005614774,-0.006634373,-0.004284151,-0.002812941,-0.001300109
2016-11-3,-0.004587624,-0.005080428,0.001023478,-0.001339073,0.013986242,0.009065462
2016-11-4,-0.00110222,-0.009096117,-0.003073791,-0.00223564,0.004849334,0.005571045
2016-11-7,0.021817294,0.007396889,0.024830216,0.020218586,-0.033020211,-0.029490429
2016-11-8,0.004493775,0.005652861,0.000500446,0.005577629,0.028170877,0.023489553
2016-11-9,0.010546283,-0.002822378,0.041642125,0.013970891,-0.027456846,-0.024370223
2016-11-10,0.002492393,-0.012514462,0.036282001,0.011601715,0.000713521,0.008335209
2016-11-11,-0.002307582,-0.00516498,0.002772567,0.00180559,-0.002857145,-0.006574646
2016-11-14,0.000785191,-0.016241661,0.024163504,0.001590684,0.001429593,0.00175747
2016-11-15,0.007772467,0.005249332,-0.000901343,0.00301482,0.002853069,-0.005723106
2016-11-16,-0.001880101,-0.00993863,-0.014532568,-0.001903006,0.002844952,0.008791265
2016-11-17,0.005127548,0.003518989,0.013630412,0.001691773,0.001419447,0.003930994
2016-11-18,-0.002240073,-0.012371174,0,-0.001627649,0.013385195,0.01083904
2016-11-21,0.007523139,0.009439514,0.003603659,0.004658605,0.004886572,0.000431127
2016-11-22,0.001951339,0.007021706,0.000449603,0.003585149,-0.005586607,-0.00129394
2016-11-23,0.00054378,-0.00819683,0.005825606,0.002995003,-0.000700525,0.002586208
2016-11-25,0.003708587,0.012270096,0.001339683,0.003718358,0.005590511,0.002579537
2016-11-28,-0.004705845,-0.006993003,-0.011669888,-0.002721989,-0.0013947,-0.001718952
2016-11-29,0.001948352,0.004667471,0.002705157,0.002146701,0.000697593,0.000430015
2016-11-30,-0.002402109,-0.002914751,0.013417094,0.001097834,0.004175371,0.002576214
2016-12-1,-0.003682075,-0.009384211,0.01717713,0.002608962,-0.011173301,-0.008180885
2016-12-2,0.000500783,0,-0.010977093,-0.000834077,-0.001405482,-0.006506204
2016-12-5,0.005990706,0.018681355,0.011850109,0.002500135,0.012578782,0.006938449
2016-12-6,0.003162533,0.008638079,0.008688231,0.001403799,0,0.002589557
2016-12-7,0.01299586,0.007426469,0.015450908,0.015413846,0.01242252,0.005587807
2016-12-8,0.002445811,-0.006853163,0.009326078,0.004084162,0.003423488,0.004277166
2016-12-9,0.006022165,-0.002294963,0.002107437,0.007157946,-0.004109595,-0.006852275
2016-12-12,-0.001148483,-0.001724626,-0.009731406,0.001970774,0.001371742,0.000429646
2016-12-13,0.00665182,0.006880729,0.002547701,0.005788972,0.002054092,0.000858738
2016-12-14,-0.008288493,-0.017291417,-0.004675941,-0.005486016,-0.001368926,0
2016-12-15,0.004108802,-0.007587012,0.008485578,0.002620929,-0.009635312,0.000429092
2016-12-16,-0.001957725,0.007587012,-0.008652591,-0.000191748,-0.006243517,-0.010349381
2016-12-19,0.002175009,-0.002911236,0.000428021,0.002066565,-0.001392758,0.001299545
2016-12-20,0.003850168,0.005813903,0.012332684,0.004120362,-0.000697107,-0.003034904
2016-12-21,-0.002786545,0.006938613,-0.002539113,-0.001304577,-0.012631747,-0.001303498
2016-12-22,-0.001728929,-0.000581149,-0.002545663,-0.00095446,-0.003537322,-0.006543099
2016-12-23,0.00146313,0.007529723,0.001697785,0.000401991,0.003537322,0.002185793
2016-12-27,0.002478035,0.001729552,0.001271546,0.000803498,-0.000706464,-0.001748252
2016-12-28,-0.008298964,-0.004618862,-0.01021724,-0.005688549,0.011942537,0.006105558
2016-12-29,-0.000222723,0.009789817,-0.007300912,-0.000454516,-0.004900255,-0.000434877
2016-12-30,-0.00366176,0.00343245,0.002152832,-0.00242724,0.007689657,0.003473733
