Date,SPY,EWI,EWS,EWD,50,54
2016-10-7,0.004951326,0.012832438,0.004623245,0.006577718,0.012596388,0.030043224
2016-10-11,-0.009088518,-0.015603733,-0.005550435,-0.008316043,-0.013300861,-0.001795333
2016-10-12,0.007517812,0.019240074,0.007393755,0.011416859,0.007022501,0.001346802
2016-10-13,-0.002407046,-0.007286046,-0.004614614,0.004119428,0.00418995,0.004476283
2016-10-14,-0.005110766,-0.008260702,-0.009293803,-0.002057593,-0.003490405,0.004900879
2016-10-17,0.004415547,0.017359879,0.014828877,0.005477627,0.002793298,0.000888494
2016-10-18,0.000695219,-0.00181313,-0.002763779,0.001705571,-0.000697593,-0.011163322
2016-10-19,-0.003435332,-0.002726108,-0.01113185,-0.006496887,-0.00279525,0.004480294
2016-10-20,0.005194925,0.007253017,0,0.005132621,0.011134423,0.007126979
2016-10-21,-0.012710054,-0.016393781,-0.018832865,-0.025230279,-0.007641579,0.001330672
2016-10-24,0.001311182,-0.002758649,-0.009551228,-0.011617757,-0.003492843,-0.003107661
2016-10-25,-0.003280965,-0.007393741,-0.002883208,-0.004614005,0,-0.001334817
2016-10-26,0.000516278,0.008314026,-0.000962903,0.003196633,0.006973529,-0.001336601
2016-10-27,-0.003478134,0.00641919,0.002885882,-0.001774726,0.00554402,0.003560306
2016-10-28,0.006242822,0.018116488,0.005747247,0.011654686,0.004137937,-0.004898696
2016-10-31,0.002663573,0.004478208,0.003813163,-0.002812889,-0.000688468,-0.007168489
2016-11-1,-0.00186843,0.002677495,-0.004768805,0.002812889,0.001376463,-0.007220248
2016-11-2,0.000467325,-0.000891794,-0.003831375,-0.00422227,0.009582551,0.012601427
2016-11-3,0.004243867,0.006225008,0.00860018,-0.005303267,-0.005464494,0.006686007
2016-11-4,-0.003356316,-0.002663052,-0.000952003,-0.002839922,-0.005494519,0.003547676
2016-11-7,-0.002009729,0.001776232,-0.009569409,-0.003561172,0,0.003093925
2016-11-8,-0.002670383,0.006191969,-0.002888811,-0.010760542,0,-0.001324796
2016-11-9,-0.002959779,-0.001765348,-0.005802678,0.001441525,0,0.007045384
2016-11-10,4.71E-05,-0.0035398,0.003872275,-0.008316846,-0.011777067,0.000438693
2016-11-11,-0.007271753,-0.00979956,-0.004842653,-0.004002197,-0.007695036,-0.007484076
2016-11-14,-0.006036861,-0.016245909,0.001939816,-0.005116968,-0.002812941,-0.002654869
2016-11-15,-0.004587624,-0.003646238,0.00386843,-0.005143361,0.013986242,-0.00577651
2016-11-16,-0.00110222,-0.011943283,-0.008725093,-0.009250767,0.004849334,0.007547206
2016-11-17,0.021817294,0.027798582,0.017374817,0.014394128,-0.033020211,-0.008884998
2016-11-18,0.004493775,0.003141152,0.007626453,0.006209977,0.028170877,-0.016194686
2016-11-21,0.010546283,-0.008097196,-0.015311366,0.008341049,-0.027456846,-0.002270149
2016-11-22,0.002492393,0.001354086,-0.010664166,0.006120617,0.000713521,0.008148529
2016-11-23,-0.002307582,-0.003614933,-0.007827784,-0.012642387,-0.002857145,0.002701487
2016-11-24,0.000785191,-0.01827379,-0.007394705,-0.017602259,0.001429593,-0.028736299
2016-11-25,0.007772467,0.003222168,0.012294201,0.015054414,0.002853069,0.024681326
2016-11-28,-0.001880101,-0.015748382,-0.004408393,-0.009152551,0.002844952,-0.036785757
2016-11-29,0.005127548,-0.000934184,0.006361571,0.00696359,0.001419447,-0.007050558
2016-11-30,-0.002240073,-0.02507816,0.0043806,-0.002559958,0.013385195,0.003296448
2016-12-1,0.007523139,0.010486244,0.000970951,0.010200523,0.004886572,-0.008024589
2016-12-2,0.001951339,0.012252703,0.001938774,0.004339926,-0.005586607,0.009434032
2016-12-5,0.00054378,-0.003753938,-0.006315216,-0.009427144,-0.000700525,-0.000469594
2016-12-6,0.003708587,0.000939746,0.016912752,0.007621155,0.005590511,0.018613846
2016-12-7,-0.004705845,-0.020883521,0.006209634,-0.009079422,-0.0013947,-0.036623811
2016-12-8,0.001948352,0.025101916,-0.000952811,0.001458268,0.000697593,0.00334209
2016-12-9,-0.002402109,0.017157914,0.003330898,0.001456144,0.004175371,-0.008135963
2016-12-12,-0.003682075,0.010519113,0.010867249,-0.002549627,-0.011173301,0.010040725
2016-12-13,0.000500783,0.006801201,0.007024041,0.000729096,-0.001405482,0.004746093
2016-12-14,0.005990706,0.008100887,0.011136967,0.018773096,0.012578782,-0.002370231
2016-12-15,0.003162533,0.041270175,0.001844218,0.007482661,0,0.008035969
2016-12-16,0.01299586,0.022960238,0.013269492,0.016895905,0.01242252,-0.016137037
2016-12-19,0.002445811,-0.002946901,-0.007757349,-0.002096487,0.003423488,-0.003354904
2016-12-20,0.006022165,-0.009743703,-0.005512143,0.006623794,-0.004109595,0.010506305
2016-12-21,-0.001148483,0.00424815,0.000920835,0,0.001371742,0.007572208
2016-12-22,0.00665182,0.023047278,0.004591308,0.009337687,0.002054092,0.007047246
2016-12-23,-0.008288493,-0.020507119,-0.019427012,-0.01666124,-0.001368926,0.005602256
2016-12-26,0.004108802,0.009259429,-0.010800808,-0.009142144,-0.009635312,0.000930665
2016-12-27,-0.001957725,0.00125588,0,0.004933131,-0.006243517,-0.003261126
2016-12-28,0.002175009,-0.004613014,-0.012829825,-0.005993306,-0.001392758,-0.007964437
2016-12-29,0.003850168,0.010869548,0.005246943,-0.003542395,-0.000697107,0.002818226
2016-12-30,-0.002786545,0.005482414,-0.003345723,0.010064504,-0.012631747,-0.008005694
