Date,026_XLI_1d_actual_lnrts,026_XLI_1d_forecast_lnrts,026_XLI_1d_true_label,026_XLI_1d_forecast_label
2016-09-22,0.007086741359113137,-0.0029668500646948814,1.0,-1.0
2016-09-23,-0.005873254278875724,-0.004829012788832188,-1.0,-1.0
2016-09-26,-0.004340592524125434,-0.0019065956585109234,-1.0,-1.0
2016-09-27,0.006935979005143579,-0.004841282963752747,1.0,-1.0
2016-09-28,0.007745951385571765,-0.00683938805013895,1.0,-1.0
2016-09-29,-0.007918772444199342,-0.006728536449372768,-1.0,-1.0
2016-09-30,0.008947080047955174,-0.0018821018747985363,1.0,-1.0
2016-10-03,0.0008561159919939379,-0.001798309851437807,1.0,-1.0
2016-10-04,-0.00842149834147718,-0.003193063661456108,-1.0,-1.0
2016-10-05,0.006365692262894599,-0.0020676730200648308,1.0,-1.0
2016-10-06,0.0,-0.003815064672380686,0.0,-1.0
2016-10-07,-0.012945763976469373,-0.007633468136191368,-1.0,-1.0
2016-10-10,0.0010418247347308374,-0.0023039323277771473,1.0,-1.0
2016-10-11,-0.01046768333798264,-0.0021528112702071667,-1.0,-1.0
2016-10-12,0.0019272916600228784,-0.001066782744601369,1.0,-1.0
2016-10-13,-0.0003501145149888608,-0.002942455932497978,-1.0,-1.0
2016-10-14,0.002099028994520893,-0.0016577935311943293,1.0,-1.0
2016-10-17,-0.0026244664558880116,-0.0008512120693922043,-1.0,-1.0
2016-10-18,0.002100131035172228,-0.003369544167071581,1.0,-1.0
2016-10-19,0.0031419142996331945,-0.0024441848509013653,1.0,-1.0
2016-10-20,-0.0054172584836213985,-0.0016469701658934355,-1.0,-1.0
2016-10-21,-0.0014027219759811136,-0.006445879116654396,-1.0,-1.0
2016-10-24,0.0019281621567942835,-0.001955095212906599,1.0,-1.0
2016-10-25,-0.0026302885652894335,-0.0025378623977303505,-1.0,-1.0
2016-10-26,0.0035056590372620207,-0.0020453790202736855,1.0,-1.0
2016-10-27,-0.006847593715969179,-0.0007355175912380219,-1.0,-1.0
2016-10-28,0.005972223243996472,-0.0022276053205132484,1.0,-1.0
2016-10-31,0.0019246654760552767,-0.001398035790771246,1.0,-1.0
2016-11-01,-0.00860178938179396,-0.0018493793904781342,-1.0,-1.0
2016-11-02,-0.0037092681429113056,-0.004465235862880945,-1.0,-1.0
2016-11-03,-0.001593936291542884,-0.0044507673010230064,-1.0,-1.0
2016-11-04,0.0008858438378641283,-0.004923071246594191,1.0,-1.0
2016-11-07,0.024316750405019735,-0.0012367460876703262,1.0,-1.0
2016-11-08,0.00603084366554345,-0.0012710799928754568,1.0,-1.0
2016-11-09,0.02477217939704811,-0.0013282117433845997,1.0,-1.0
2016-11-10,0.021060396144708438,-0.0033388244919478893,1.0,-1.0
2016-11-11,0.0018034961603071921,-0.005357576534152031,1.0,-1.0
2016-11-14,0.004249717986952504,-0.0050891367718577385,1.0,-1.0
2016-11-15,0.0037444339373058615,-0.003915016073733568,1.0,-1.0
2016-11-16,-0.005703641932600876,-0.0012359840329736471,-1.0,-1.0
2016-11-17,0.002122371511795727,-0.004133256152272224,1.0,-1.0
2016-11-18,-0.00032630373509793446,-0.006084197200834751,-1.0,-1.0
2016-11-21,0.005368928909475639,-0.0015471589285880327,1.0,-1.0
2016-11-22,0.004533001775769477,0.0005121657159179449,1.0,1.0
2016-11-23,0.007402658275632629,-0.0005825413390994072,1.0,-1.0
2016-11-25,0.005436496390988391,-0.0046915230341255665,1.0,-1.0
2016-11-28,-0.00688056558451652,-0.005873986519873142,-1.0,-1.0
2016-11-29,0.0008026417563358442,-0.003530990332365036,1.0,-1.0
2016-11-30,0.0012825581277757946,-0.005318446084856987,1.0,-1.0
2016-12-01,0.006548002453960785,-0.005015733186155558,1.0,-1.0
2016-12-02,-0.00015915354254646355,-0.002368941903114319,-1.0,-1.0
2016-12-05,-0.0007965217332903833,-0.005241714417934418,-1.0,-1.0
2016-12-06,0.0019103083214166055,-0.005877997726202011,1.0,-1.0
2016-12-07,0.018435901323571657,-0.004415613133460283,1.0,-1.0
2016-12-08,-0.005636451888544948,-0.00295730447396636,-1.0,-1.0
2016-12-09,0.0045429581891529075,-0.004572488367557526,1.0,-1.0
2016-12-12,-0.003601359224143267,-0.005777438171207905,-1.0,-1.0
2016-12-13,-0.0014128032452497053,-0.005931374616920948,-1.0,-1.0
2016-12-14,-0.010104208585417745,-0.007034109905362129,-1.0,-1.0
2016-12-15,0.0011100772221672365,-0.0048377010971307755,1.0,-1.0
2016-12-16,-0.0020113404767712465,-0.00556696392595768,-1.0,-1.0
2016-12-19,0.005577241636385961,-0.003209969960153103,1.0,-1.0
2016-12-20,0.005704247762168636,-0.007463693618774414,1.0,-1.0
2016-12-21,-0.0037992141707675012,-0.005714269354939461,-1.0,-1.0
2016-12-22,-0.001905033591401164,-0.006037697196006775,-1.0,-1.0
2016-12-23,0.0009529462950538954,-0.0034608086571097374,1.0,-1.0
2016-12-27,0.002061633702337619,-0.006604199297726154,1.0,-1.0
2016-12-28,-0.010511241341695721,-0.005295241717249155,-1.0,-1.0
2016-12-29,-0.00032032943322710496,-0.005430236458778381,-1.0,-1.0
2016-12-30,-0.0035295327993698365,-0.004524616990238428,-1.0,-1.0
