Date,019_EWK_1d_actual_lnrts,019_EWK_1d_forecast_lnrts,019_EWK_1d_true_label,019_EWK_1d_forecast_label
2016-12-14,-0.01729141693404953,0.000992859248071909,-1.0,1.0
2016-12-15,-0.007587011929072211,0.0032684209290891886,-1.0,1.0
2016-12-16,0.007587011929072191,0.0019090266432613134,1.0,1.0
2016-12-19,-0.0029112364918208455,0.0028641726821660995,-1.0,1.0
2016-12-20,0.0058139032168096705,0.0024919488932937384,1.0,1.0
2016-12-21,0.00693861281483196,0.004478632938116789,1.0,1.0
2016-12-22,-0.0005811493407145693,0.002400474390015006,-1.0,1.0
2016-12-23,0.007529723116756866,0.0018234322778880596,1.0,1.0
2016-12-27,0.0017295521367828059,-0.0003676624037325382,1.0,-1.0
2016-12-28,-0.004618862011433053,0.002135190414264798,-1.0,1.0
2016-12-29,0.009789817348089777,0.0036102873273193836,1.0,1.0
2016-12-30,0.003432450064100083,0.004932408686727285,1.0,1.0
