Date,024_XLE_1d_actual_lnrts,024_XLE_1d_forecast_lnrts,024_XLE_1d_true_label,024_XLE_1d_forecast_label
2016-09-21,0.022897893337049103,-0.02255265973508358,1.0,-1.0
2016-09-22,0.001167746529954846,-0.017229247838258743,1.0,-1.0
2016-09-23,-0.013364004481926579,-0.02450171671807766,-1.0,-1.0
2016-09-26,-0.004445135751745936,-0.018385812640190125,-1.0,-1.0
2016-09-27,-0.006704965500330107,-0.022022411227226257,-1.0,-1.0
2016-09-28,0.04229794277618944,-0.018500862643122673,1.0,-1.0
2016-09-29,-0.0017209912118721607,-0.02351006306707859,-1.0,-1.0
2016-09-30,0.013545419963327542,-0.018584907054901123,1.0,-1.0
2016-10-03,-0.0007084356630981376,-0.018720455467700958,-1.0,-1.0
2016-10-04,-0.010256488711214127,-0.017932722344994545,-1.0,-1.0
2016-10-05,0.01520463826376512,-0.0157722570002079,1.0,-1.0
2016-10-06,0.001549939697382427,-0.01555740088224411,1.0,-1.0
2016-10-07,-0.005789653586835323,-0.022144241258502007,-1.0,-1.0
2016-10-10,0.015597860122015018,-0.01466398872435093,1.0,-1.0
2016-10-11,-0.01149912406033302,-0.0217133779078722,-1.0,-1.0
2016-10-12,-0.0042403129063526245,-0.01746058091521263,-1.0,-1.0
2016-10-13,-0.005539511499221536,-0.022385243326425552,-1.0,-1.0
2016-10-14,-0.005856525294198371,-0.016835421323776245,-1.0,-1.0
2016-10-17,-0.004883233172654115,-0.020916718989610672,-1.0,-1.0
2016-10-18,0.004023117866964141,-0.016909735277295113,1.0,-1.0
2016-10-19,0.01409593549520284,-0.016487129032611847,1.0,-1.0
2016-10-20,-0.0011318512798007122,-0.018434161320328712,-1.0,-1.0
2016-10-21,-0.006532230894804182,-0.02216077409684658,-1.0,-1.0
2016-10-24,-0.0029964117042391497,-0.0198840145021677,-1.0,-1.0
2016-10-25,-0.004583132635905562,-0.022683143615722656,-1.0,-1.0
2016-10-26,0.002294081130682874,-0.019081654027104378,1.0,-1.0
2016-10-27,-0.0037308129555442353,-0.017702190205454826,-1.0,-1.0
2016-10-28,-0.0027351171460078703,-0.012300604023039341,-1.0,-1.0
2016-10-31,-0.010870499557641482,-0.020893801003694534,-1.0,-1.0
2016-11-01,0.00014578195821125705,-0.014847022481262684,1.0,-1.0
2016-11-02,-0.01113565793284616,-0.02085842192173004,-1.0,-1.0
2016-11-03,0.003970258896921799,-0.020381778478622437,1.0,-1.0
2016-11-04,-0.005444789284537805,-0.01988213323056698,-1.0,-1.0
2016-11-07,0.021314760265561138,-0.022730158641934395,1.0,-1.0
2016-11-08,0.0012991610939611772,-0.01756882295012474,1.0,-1.0
2016-11-09,0.016169765807563203,-0.017656108364462852,1.0,-1.0
2016-11-10,0.004249205459209562,-0.017478669062256813,1.0,-1.0
2016-11-11,-0.018401564582950662,-0.01791561394929886,-1.0,-1.0
2016-11-14,0.005599157989256999,-0.02123677358031273,1.0,-1.0
2016-11-15,0.027812940046856315,-0.017161644995212555,1.0,-1.0
2016-11-16,-0.006986307789789482,-0.018810071051120758,-1.0,-1.0
2016-11-17,-0.006752972565692365,-0.021814560517668724,-1.0,-1.0
2016-11-18,0.004085339852659047,-0.016977380961179733,1.0,-1.0
2016-11-21,0.02348158712965242,-0.014350357465445995,1.0,-1.0
2016-11-22,-0.0005494735219651388,-0.012049996294081211,-1.0,-1.0
2016-11-23,0.004113562672213708,-0.01543282438069582,1.0,-1.0
2016-11-25,-0.004938332378828706,-0.015809979289770126,-1.0,-1.0
2016-11-28,-0.013986295126564702,-0.01756572350859642,-1.0,-1.0
2016-11-29,-0.012347505783427847,-0.016755012795329094,-1.0,-1.0
2016-11-30,0.04957636217099001,-0.019342297688126564,1.0,-1.0
2016-12-01,0.0024154298309887953,-0.019899960607290268,1.0,-1.0
2016-12-02,0.0029444164128684977,-0.01871519908308983,1.0,-1.0
2016-12-05,0.008781395033820789,-0.01962297223508358,1.0,-1.0
2016-12-06,-0.0018563428386350988,-0.018472077324986458,-1.0,-1.0
2016-12-07,0.00793134923655975,-0.02402603253722191,1.0,-1.0
2016-12-08,0.005383788179497832,-0.016853300854563713,1.0,-1.0
2016-12-09,0.003138060624737281,-0.022166643291711807,1.0,-1.0
2016-12-12,0.004688670402605327,-0.022115889936685562,1.0,-1.0
2016-12-13,0.011241254599772058,-0.01787356473505497,1.0,-1.0
2016-12-14,-0.02024740832993845,-0.02170293964445591,-1.0,-1.0
2016-12-15,0.002226573441786971,-0.018401941284537315,1.0,-1.0
2016-12-16,0.0061882488137749575,-0.02617569826543331,1.0,-1.0
2016-12-19,-0.004585139626318773,-0.017612997442483902,-1.0,-1.0
2016-12-20,-0.00223463083777702,-0.025367751717567444,-1.0,-1.0
2016-12-21,0.0015778951607872556,-0.021612562239170074,1.0,-1.0
2016-12-22,0.004064836658928907,-0.020166805014014244,1.0,-1.0
2016-12-23,-0.000916388478597527,-0.02074960619211197,-1.0,-1.0
2016-12-27,0.0022240119516630827,-0.024193085730075836,1.0,-1.0
2016-12-28,-0.010905925449707596,-0.021395279094576836,-1.0,-1.0
2016-12-29,-0.0019838650366445576,-0.021903693675994873,-1.0,-1.0
2016-12-30,-0.002916627625777469,-0.01882387325167656,-1.0,-1.0
