Date,003_EWJ_1d_actual_lnrts,003_EWJ_1d_forecast_lnrts,003_EWJ_1d_true_label,003_EWJ_1d_forecast_label
2016-11-29,0.0010011484380893008,-0.003036553505808115,1.0,-1.0
2016-11-30,-0.00160238018249417,-0.003844098187983036,-1.0,-1.0
2016-12-01,-0.008454022277591658,-0.0055330777540802956,-1.0,-1.0
2016-12-02,0.003027490122064516,-0.003998500294983387,1.0,-1.0
2016-12-05,-0.001209937476015434,-0.0038351695984601974,-1.0,-1.0
2016-12-06,0.004429284923425613,-0.003606516867876053,1.0,-1.0
2016-12-07,0.014755944818243235,-0.004873189609497786,1.0,-1.0
2016-12-08,0.011415197029676295,-0.0048684170469641685,1.0,-1.0
2016-12-09,0.0029312191122993683,-0.0037686787545681,1.0,-1.0
2016-12-12,-0.00980402241000549,-0.004551222547888756,-1.0,-1.0
2016-12-13,0.01175329362365004,-0.0029294025152921677,1.0,-1.0
2016-12-14,-0.015504117137780393,-0.0058546727523207664,-1.0,-1.0
2016-12-15,0.0,-0.005057448521256447,0.0,-1.0
2016-12-16,-0.008740707755191436,-0.003194131888449192,-1.0,-1.0
2016-12-19,0.008542793367773558,-0.004570689983665943,1.0,-1.0
2016-12-20,0.0009886170540528837,-0.004315211437642574,1.0,-1.0
2016-12-21,-0.005352450603064504,-0.005148155614733696,-1.0,-1.0
2016-12-22,-0.0016093722082538438,-0.003944055642932653,-1.0,-1.0
2016-12-23,0.0018103162331947833,-0.003538893535733223,1.0,-1.0
2016-12-27,-0.006249339006070733,-0.0030652014538645744,-1.0,-1.0
2016-12-28,-0.001416530907419926,-0.0030990466475486755,-1.0,-1.0
2016-12-29,-0.010177212477004883,-0.004142038524150848,-1.0,-1.0
2016-12-30,-0.0004092277189182199,-0.0022347685880959034,-1.0,-1.0
