Date,021_XLF_1d_actual_lnrts,021_XLF_1d_forecast_lnrts,021_XLF_1d_true_label,021_XLF_1d_forecast_label
2016-10-21,-0.000508744838216753,-0.007557998411357403,-1.0,-1.0
2016-10-24,0.0030485939365921264,-0.006657806225121021,1.0,-1.0
2016-10-25,-0.0010151656705930825,-0.013787602074444294,-1.0,-1.0
2016-10-26,0.006075951985091598,-0.0009944045450538397,1.0,-1.0
2016-10-27,0.0025208466982994853,-0.006465792655944824,1.0,-1.0
2016-10-28,-0.004542047756146459,-0.012307976372539997,-1.0,-1.0
2016-10-31,-0.0015185090462350712,-0.003330388804897666,-1.0,-1.0
2016-11-01,-0.004060925308791773,0.009072395972907543,-1.0,1.0
2016-11-02,-0.0066343732181114315,0.0010398209560662508,-1.0,1.0
2016-11-03,0.001023478092261559,-0.00561857782304287,1.0,-1.0
2016-11-04,-0.0030737907273168386,-0.020011398941278458,-1.0,-1.0
2016-11-07,0.024830215572932902,-0.013378984294831753,1.0,-1.0
2016-11-08,0.0005004459982276,-0.00912634190171957,1.0,-1.0
2016-11-09,0.04164212525762831,-0.0024515732657164335,1.0,-1.0
2016-11-10,0.03628200074827821,-0.020671628415584564,1.0,-1.0
2016-11-11,0.002772566952055416,-0.007181019522249699,1.0,-1.0
2016-11-14,0.024163503853438094,-0.004839019849896431,1.0,-1.0
2016-11-15,-0.0009013426594113818,-0.01065843552350998,-1.0,-1.0
2016-11-16,-0.014532567960591243,-0.007821380160748959,-1.0,-1.0
2016-11-17,0.013630412149606804,-0.015198002569377422,1.0,-1.0
2016-11-18,0.0,-0.00858191680163145,0.0,-1.0
2016-11-21,0.0036036588040610357,-0.009989730082452297,1.0,-1.0
2016-11-22,0.0004496027062496316,0.002512567676603794,1.0,1.0
2016-11-23,0.00582560617274584,-0.006488031707704067,1.0,-1.0
2016-11-25,0.0013396833401655205,-0.01730489544570446,1.0,-1.0
2016-11-28,-0.011669888441328978,-0.01319774892181158,-1.0,-1.0
2016-11-29,0.0027051569901549656,-0.01796966977417469,1.0,-1.0
2016-11-30,0.013417093641674958,-0.011463269591331482,1.0,-1.0
2016-12-01,0.01717713038103511,-0.01338632870465517,1.0,-1.0
2016-12-02,-0.010977092720881178,-0.011031500063836575,-1.0,-1.0
2016-12-05,0.011850108624702765,-0.007880570366978645,1.0,-1.0
2016-12-06,0.008688231119355858,-0.010404334403574467,1.0,-1.0
2016-12-07,0.015450908475476142,-0.02245599776506424,1.0,-1.0
2016-12-08,0.009326077760889999,-0.018562674522399902,1.0,-1.0
2016-12-09,0.0021074372956055736,-0.014314019121229649,1.0,-1.0
2016-12-12,-0.009731406049450933,-0.01696242205798626,-1.0,-1.0
2016-12-13,0.0025477005091129215,-0.011946159414947033,1.0,-1.0
2016-12-14,-0.004675941379074733,-0.012965855188667774,-1.0,-1.0
2016-12-15,0.008485577780845584,-0.005385616794228554,1.0,-1.0
2016-12-16,-0.008652590999245239,-0.01677156612277031,-1.0,-1.0
2016-12-19,0.00042802105429436723,-0.013703915290534496,1.0,-1.0
2016-12-20,0.012332684367917138,-0.008819845505058765,1.0,-1.0
2016-12-21,-0.002539113183605379,-0.010538766160607338,-1.0,-1.0
2016-12-22,-0.0025456626420479202,-0.002465160796418786,-1.0,-1.0
2016-12-23,0.001697785367580294,0.0016363973263651133,1.0,1.0
2016-12-27,0.001271546478044165,-0.008898753672838211,1.0,-1.0
2016-12-28,-0.010217240387888269,-0.017730236053466797,-1.0,-1.0
2016-12-29,-0.0073009116909380474,-0.007980233058333397,-1.0,-1.0
2016-12-30,0.0021528324501278342,-0.015661101788282394,1.0,-1.0
