Date,027_XLP_1d_actual_lnrts,027_XLP_1d_forecast_lnrts,027_XLP_1d_true_label,027_XLP_1d_forecast_label
2016-12-09,0.01432185614408939,0.03179122135043144,1.0,1.0
2016-12-12,0.004027208635925346,0.029165899381041527,1.0,1.0
2016-12-13,0.00458285267439463,0.024568859487771988,1.0,1.0
2016-12-14,-0.010918558315532628,0.025828341022133827,-1.0,1.0
2016-12-15,0.004228260745562982,0.027094373479485512,1.0,1.0
2016-12-16,0.005703063393257652,0.030367648229002953,1.0,1.0
2016-12-19,0.001919429460304724,0.027350176125764847,1.0,1.0
2016-12-20,-0.0019194294603047616,0.025601189583539963,-1.0,1.0
2016-12-21,-0.00019218099199543303,0.026522399857640266,-1.0,1.0
2016-12-22,-0.0015383866256171114,0.02884291112422943,-1.0,1.0
2016-12-23,0.0019227704252014035,0.02882435731589794,1.0,1.0
2016-12-27,-0.00019220280758894018,0.025139283388853073,-1.0,1.0
2016-12-28,-0.0061669041817247125,0.02639562450349331,-1.0,1.0
2016-12-29,0.0046287349454834925,0.028287598863244057,1.0,1.0
2016-12-30,-0.0050154136398325696,0.031317152082920074,-1.0,1.0
