Date,050_IYJ_1d_actual_lnrts,050_IYJ_1d_forecast_lnrts,050_IYJ_1d_true_label,050_IYJ_1d_forecast_label
2016-10-07,-0.012796405731341502,-0.0024753673933446407,-1.0,-1.0
2016-10-10,0.0013313924825986419,-0.002439153380692005,1.0,-1.0
2016-10-11,-0.011777458362576248,-0.004500404465943575,-1.0,-1.0
2016-10-12,0.00206220471337711,-0.0001411105040460825,1.0,-1.0
2016-10-13,-0.0026906623170917937,0.0014628058997914195,-1.0,1.0
2016-10-14,0.001794557956682708,-0.0023877564817667007,1.0,-1.0
2016-10-17,-0.001166100352967994,-0.003947640769183636,-1.0,-1.0
2016-10-18,0.002867964825863617,-0.001844269223511219,1.0,-1.0
2016-10-19,0.002859691148219688,0.0001226356253027916,1.0,1.0
2016-10-20,-0.005727655974083235,-0.0029026297852396965,-1.0,-1.0
2016-10-21,0.0005384386998407011,-0.004974171984940767,1.0,-1.0
2016-10-24,0.0036709674899098516,-0.0016194544732570648,1.0,-1.0
2016-10-25,-0.005107225393752934,-0.0011191342491656542,-1.0,-1.0
2016-10-26,0.004123660274492109,-0.0033244788646698,1.0,-1.0
2016-10-27,-0.007813595247510834,-0.00018218718469142914,-1.0,-1.0
2016-10-28,0.005036424988921934,-0.0003368945326656103,1.0,-1.0
2016-10-31,0.0020612174441154473,-0.0038029979914426804,1.0,-1.0
2016-11-01,-0.00754858824652412,-0.003180241212248802,-1.0,-1.0
2016-11-02,-0.00461097320503392,-0.0032039564102888107,-1.0,-1.0
2016-11-03,-0.002904078974750686,-0.002534806728363037,-1.0,-1.0
2016-11-04,0.0014531668897563863,-0.00448801601305604,1.0,-1.0
2016-11-07,0.022256937594819823,-0.004143937025219202,1.0,-1.0
2016-11-08,0.00531112331267986,-0.003203101921826601,1.0,-1.0
2016-11-09,0.022003924065792612,0.0016324687749147415,1.0,1.0
2016-11-10,0.0168705136473451,-0.002944947686046362,1.0,-1.0
2016-11-11,0.0019510991586219717,-0.004598650150001049,1.0,-1.0
2016-11-14,0.004313118139548853,-0.006277908571064472,1.0,-1.0
2016-11-15,0.002780991163115053,-0.0030386438593268394,1.0,-1.0
2016-11-16,-0.0032029794323749287,3.4636352211236954e-05,-1.0,1.0
2016-11-17,0.0024453217599243703,-0.0027759908698499203,1.0,-1.0
2016-11-18,-0.0007582406497070806,-0.004530444275587797,-1.0,-1.0
2016-11-21,0.006133622293387725,-0.00400434248149395,1.0,-1.0
2016-11-22,0.005263454332491295,-0.0023395754396915436,1.0,-1.0
2016-11-23,0.007554060382542143,0.002804808085784316,1.0,1.0
2016-11-25,0.004291173902524167,-0.0018202206119894981,1.0,-1.0
2016-11-28,-0.006609464261993731,-0.005587693303823471,-1.0,-1.0
2016-11-29,0.0003316042673383207,-0.005026098340749741,1.0,-1.0
2016-11-30,-0.0014927094286582524,-0.004106050357222557,-1.0,-1.0
2016-12-01,0.0038928324113128875,-0.00633606594055891,1.0,-1.0
2016-12-02,-0.0007442578082583251,-0.00348597951233387,-1.0,-1.0
2016-12-05,0.0021485695147050025,-0.0019905362278223038,1.0,-1.0
2016-12-06,0.003049681694114275,-0.004067565314471722,1.0,-1.0
2016-12-07,0.015353450368544538,-0.007010430097579956,1.0,-1.0
2016-12-08,-0.001135270103063556,-0.0034248540177941322,-1.0,-1.0
2016-12-09,0.0029976156944690286,-0.0028536804020404816,1.0,-1.0
2016-12-12,-0.0037280350153866266,-0.003799629397690296,-1.0,-1.0
2016-12-13,-8.118882580326657e-05,-0.00513774948194623,-1.0,-1.0
