Date,015_EWD_1d_actual_lnrts,015_EWD_1d_forecast_lnrts,015_EWD_1d_true_label,015_EWD_1d_forecast_label
2016-11-14,-0.017602259455054163,0.005239029880613089,-1.0,1.0
2016-11-15,0.0150544141660938,-0.0002500740811228752,1.0,-1.0
2016-11-16,-0.009152550847416827,-0.0018480299040675163,-1.0,-1.0
2016-11-17,0.00696359017326508,-0.006145023740828037,1.0,-1.0
2016-11-18,-0.002559958063778319,-0.0055992491543293,-1.0,-1.0
2016-11-21,0.010200522858711479,0.006248521618545055,1.0,1.0
2016-11-22,0.004339926449734539,0.0061056227423250675,1.0,1.0
2016-11-23,-0.009427144346826337,0.0003159148618578911,-1.0,1.0
2016-11-25,0.0076211547252496995,-0.0015389379113912582,1.0,-1.0
2016-11-28,-0.009079422342530582,-0.0074974531307816505,-1.0,-1.0
2016-11-29,0.0014582676172808784,-0.003931847400963306,1.0,-1.0
2016-11-30,0.001456144169017357,-0.0038776779547333717,1.0,-1.0
2016-12-01,-0.0025496268219426916,-0.0017106486484408379,-1.0,-1.0
2016-12-02,0.0007290964292358837,-0.005996416322886944,1.0,-1.0
2016-12-05,0.01877309574017874,-0.010657447390258312,1.0,-1.0
2016-12-06,0.007482661328620966,-0.008107981644570827,1.0,-1.0
2016-12-07,0.016895905140315085,-0.002676025964319706,1.0,-1.0
2016-12-08,-0.0020964869417115454,0.0006923805922269821,-1.0,1.0
2016-12-09,0.00662379388346934,0.0015555256977677345,1.0,1.0
2016-12-12,0.0,-0.0031852368265390396,0.0,-1.0
2016-12-13,0.009337686503296142,-0.010075612924993038,1.0,-1.0
2016-12-14,-0.016661239503680234,-0.012237767688930035,-1.0,-1.0
2016-12-15,-0.009142143949203426,-0.007628231309354305,-1.0,-1.0
2016-12-16,0.00493313125783893,-0.006723352707922459,1.0,-1.0
2016-12-19,-0.005993306248588894,-0.0047617340460419655,-1.0,-1.0
2016-12-20,-0.0035423949731169316,-0.0029585687443614006,-1.0,-1.0
2016-12-21,0.010064504185679692,-0.0035852836444973946,1.0,-1.0
2016-12-22,-0.003872495855416444,-0.007600679062306881,-1.0,-1.0
2016-12-23,0.005277038118623654,-0.005150952376425266,1.0,-1.0
2016-12-27,0.0028030727996738052,-0.006971349008381367,1.0,-1.0
2016-12-28,-0.0035050614373363024,-0.003946586512029171,-1.0,-1.0
2016-12-29,0.006300334653685374,-0.000307486392557621,1.0,-1.0
2016-12-30,0.002439408606861272,-0.0024262163788080215,1.0,-1.0
